100,52,50,46,59,51,41,44,46,52,41,40,43,48,59,44,43,48,47,47,48,
200,181,183,212,191,186,197,208,200,198,187,191,189,195,208,176,189,181,198,181,223,
300,451,430,423,428,414,438,472,454,451,437,453,437,427,466,413,407,409,441,433,446,
400,866,853,746,815,911,927,730,737,834,689,877,940,813,788,867,956,917,1009,811,802,
500,1393,1559,1245,1387,1312,1351,1206,1225,1159,1153,1552,1793,1690,1683,1209,1125,1347,1213,1263,1260,
600,2300,2146,2279,2024,1707,1667,1761,1719,1710,1840,1706,1971,3329,2496,1759,1703,1739,2350,2333,1716,
700,2381,4414,3626,3672,3604,2695,3613,3483,3490,3788,3861,3655,2238,2231,2381,2329,2322,2493,2250,2312,
800,3330,4057,39541,4619,5413,3255,4612,3097,3005,3053,3230,3188,3248,3054,3174,3108,3024,2994,3139,3454,
900,3624,3949,4019,4309,3945,3953,4063,4233,3991,3929,5989,7081,7031,6513,6582,6412,5710,3973,3657,3610,
1000,4500,4651,4895,4945,4789,4636,4879,4692,4694,5368,5113,4515,4458,7964,7623,4661,4496,4750,4650,4592,
