100,54,40,42,47,55,41,57,39,51,50,42,42,40,44,55,42,45,52,40,40,
200,124,60,60,66,58,57,63,60,59,59,57,59,61,60,57,58,59,60,64,59,
300,111,93,100,91,91,92,95,109,93,107,99,100,95,92,92,93,100,91,96,95,
400,127,128,133,124,125,126,127,132,127,126,126,258,174,183,133,130,129,123,127,138,
500,183,161,172,218,243,167,179,181,162,168,165,157,168,203,147,342,200,211,287,275,
600,212,212,206,190,193,198,328,193,194,195,321,315,330,204,262,872,197,326,335,315,
700,298,280,294,367,281,228,292,251,373,262,257,253,237,240,239,249,246,307,234,233,
800,273,272,543,452,494,393,498,258,279,263,246,249,275,267,279,254,254,266,266,306,
900,312,311,323,331,321,332,332,330,305,329,319,310,309,309,310,322,308,310,309,309,
1000,362,339,384,423,394,397,379,356,352,339,348,348,330,340,338,347,339,339,335,339,
