10,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,
20,2,2,3,11,3,3,4,2,5,3,3,3,3,3,3,2,3,3,3,3,
30,7,6,7,7,6,7,7,8,6,7,8,7,6,7,5,6,7,7,7,8,
40,12,11,14,12,12,12,22,11,11,11,13,12,11,12,11,23,14,11,13,12,
50,15,15,17,21,17,15,16,18,16,15,26,15,20,16,17,17,18,15,17,17,
60,26,23,26,25,25,27,25,30,24,22,24,25,25,35,23,27,24,26,35,38,
70,32,32,33,44,33,35,36,43,40,37,34,44,34,32,36,32,36,38,34,34,
80,54,46,48,37,47,59,43,53,51,46,58,47,45,44,42,50,46,45,45,51,
90,53,52,64,58,56,60,63,59,65,70,51,63,64,52,67,63,60,62,64,54,
100,71,79,70,88,75,82,68,76,68,70,85,60,47,43,44,43,47,46,47,43,
