10,15,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,
20,7,7,7,19,6,6,6,7,9,6,17,7,6,6,6,7,6,8,6,6,
30,13,12,14,13,13,12,12,13,12,12,10,11,12,11,11,22,13,13,12,11,
40,16,16,16,15,18,15,16,17,18,16,16,19,16,15,17,18,17,16,30,15,
50,21,21,17,19,22,19,19,21,19,20,21,19,21,18,18,19,19,19,19,19,
60,25,38,32,27,25,26,24,32,24,23,25,24,44,24,24,38,24,25,23,26,
70,30,42,29,29,28,29,28,29,30,32,29,30,29,31,30,38,31,29,29,27,
80,35,32,35,56,33,36,35,35,37,34,36,35,36,34,31,36,34,44,35,34,
90,56,41,40,51,39,39,50,41,40,42,41,41,39,40,41,96,45,42,40,40,
100,56,46,57,44,44,44,42,46,46,42,41,27,25,32,26,24,41,30,25,24,
